Year;Month;Day;AVG_price_per_sqm
2022;03;28;13159
2022;02;17;12233
2022;03;09;11755
2021;02;25;10495
2022;02;25;12773
2022;02;16;12598
2022;02;28;13414
2022;02;27;12708
2022;03;16;12628
2022;03;17;11928
2022;02;22;11813
2022;03;02;13277
2022;02;21;9770
2022;03;18;11908
2022;03;03;12618
2022;02;11;13076
2022;02;09;12904
2022;03;24;13929
2022;02;20;11952
2022;03;25;12635
2022;03;11;12306
2022;03;26;13075
2022;02;10;13166
2022;03;22;15006
2022;03;21;11811
2022;03;30;11867
2022;02;04;11328
2022;02;02;12044
2022;03;23;13124
2022;02;24;13619
2022;03;10;13457
2022;03;07;12845
2022;02;23;13474
2022;02;18;12792
2022;03;04;12921
2022;03;13;12095
2022;03;14;11551
2022;02;15;13049
2022;02;08;12441
2022;02;12;11835
2021;03;13;11831
2022;03;15;13505
2022;02;07;12280
2022;02;13;12266
2022;02;03;11678
2022;03;08;12362
2022;03;01;14698
2022;03;29;12531
2022;02;26;12719
2022;02;06;11048
2022;02;01;13820
2022;03;06;11732
2021;03;10;9549
2021;02;12;12193
2021;03;23;11292
2022;03;05;13026
2022;03;27;12683
2021;03;01;11467
2022;02;14;12832
2022;03;12;12835
2021;03;03;11399
2021;03;06;9574
2021;02;10;11722
2021;02;24;10905
2021;02;17;11048
2021;02;03;10922
2021;02;15;10605
2021;02;16;10743
2021;02;09;10809
2021;03;19;12201
2021;02;04;10416
2021;02;07;10844
2021;02;02;11485
2021;03;08;11436
2021;03;14;12802
2021;02;11;10623
2021;03;11;10081
2021;02;08;11116
2021;02;18;10904
2021;03;04;11739
2021;02;28;11297
2021;02;01;10895
2021;02;26;10438
2021;02;05;10856
2021;03;15;10634
2021;02;06;10841
2022;02;05;12239
2022;02;19;12010
2021;02;22;10857
2021;02;14;10927
2021;02;23;10771
2021;02;13;10701
2021;02;27;9864
2021;03;12;11956
2021;03;26;10543
2021;03;22;11326
2021;02;19;10432
2022;03;19;13047
2021;03;02;11084
2021;03;16;10070
2021;03;05;11483
2021;02;21;10216
2021;03;17;10649
2021;03;25;10498
2021;02;20;11070
2022;03;20;12574
2021;03;29;10898
2021;03;28;10774
2021;03;31;18993
2021;03;07;10826
2021;03;18;11946
2021;03;09;11993
2021;03;20;10711
2021;03;24;10476
2021;03;21;12113
2021;03;27;10382
2021;03;30;10949
