Year;Month;Day;Amount
2022;03;28;461
2022;02;17;434
2022;03;09;628
2021;02;25;281
2022;02;25;347
2022;02;16;598
2022;02;28;497
2022;02;27;152
2022;03;16;630
2022;03;17;516
2022;02;22;628
2022;03;02;401
2022;02;21;1117
2022;03;18;525
2022;03;03;634
2022;02;11;380
2022;02;09;625
2022;03;24;599
2022;02;20;187
2022;03;25;398
2022;03;11;385
2022;03;26;179
2022;02;10;690
2022;03;22;1285
2022;03;21;541
2022;03;30;473
2022;02;04;503
2022;02;02;386
2022;03;23;408
2022;02;24;422
2022;03;10;432
2022;03;07;608
2022;02;23;426
2022;02;18;711
2022;03;04;461
2022;03;13;197
2022;03;14;529
2022;02;15;595
2022;02;08;423
2022;02;12;186
2021;03;13;31
2022;03;15;452
2022;02;07;458
2022;02;13;216
2022;02;03;382
2022;03;08;404
2022;03;01;645
2022;03;29;409
2022;02;26;154
2022;02;06;221
2022;02;01;501
2022;03;06;151
2021;03;10;250
2021;02;12;365
2021;03;23;78
2022;03;05;167
2022;03;27;142
2021;03;01;160
2022;02;14;421
2022;03;12;196
2021;03;03;115
2021;03;06;187
2021;02;10;482
2021;02;24;267
2021;02;17;276
2021;02;03;302
2021;02;15;295
2021;02;16;391
2021;02;09;310
2021;03;19;82
2021;02;04;291
2021;02;07;144
2021;02;02;330
2021;03;08;136
2021;03;14;49
2021;02;11;278
2021;03;11;155
2021;02;08;312
2021;02;18;245
2021;03;04;159
2021;02;28;100
2021;02;01;348
2021;02;26;264
2021;02;05;310
2021;03;15;105
2021;02;06;157
2022;02;05;189
2022;02;19;152
2021;02;22;251
2021;02;14;79
2021;02;23;280
2021;02;13;121
2021;02;27;164
2021;03;12;92
2021;03;26;35
2021;03;22;61
2021;02;19;375
2022;03;19;189
2021;03;02;146
2021;03;16;122
2021;03;05;106
2021;02;21;108
2021;03;17;88
2021;03;25;59
2021;02;20;117
2022;03;20;161
2021;03;29;24
2021;03;28;12
2021;03;31;5
2021;03;07;25
2021;03;18;61
2021;03;09;112
2021;03;20;14
2021;03;24;35
2021;03;21;13
2021;03;27;5
2021;03;30;13
